실적일자,분당,수원,청주,양산
2020-06-02,201,296.2,173,577.2
2020-06-03,439,649.4,304,315.2
2020-06-04,431,607.2,352,526
2020-06-05,430,540.8,295,451.2
2020-06-06,476,676.2,352,369.6
2020-06-07,451,543.6,283,558.8
2020-06-08,493,728.2,348,551.6
2020-06-09,501,755.2,351,562
2020-06-10,407,616.8,294,546
2020-06-11,478,686.6,311,260.8
2020-06-12,237,310.4,121,347.6
2020-06-13,513,732.8,313,198.8
2020-06-14,404,567,235,109.6
2020-06-15,491,700.8,349,540
2020-06-16,484,660.6,335,564.8
2020-06-17,441,639.8,255,371.6
2020-06-18,271,354.6,144,58.4
2020-06-19,421,556.2,343,487.6
2020-06-20,466,727,318,415.6
2020-06-21,462,727.4,328,589.2
2020-06-22,476,757.4,361,578.4
2020-06-23,346,544.8,257,565.6
2020-06-24,102,81.6,69,174.4
2020-06-25,184,191.6,66,150.8
2020-06-26,315,422.4,299,508.8
2020-06-27,430,599.8,232,423.6
2020-06-28,441,642.2,323,487.2
2020-06-29,225,287,141,199.6
2020-06-30,201,249.2,73,113.2
2020-07-01,14,267,173,330
2020-07-02,40,596,319,437.6
2020-07-03,42,694,149,152.8
2020-07-04,1,650,272,272.8
2020-07-05,10840,539,261,435.6
2020-07-06,35,542,280,140
2020-07-07,22,377,199,475.2
2020-07-08,38,666,315,227.2
2020-07-09,45,698,358,437.2
2020-07-10,27,431,172,104.4
2020-07-11,39,614,230,304.4
2020-07-12,15,165,90,122
2020-07-13,11,112,45,55.6
2020-07-14,22,357,130,205.6
2020-07-15,41,638,207,174
2020-07-16,1,647,268,528
2020-07-17,34,593,306,586
2020-07-18,37,556,305,340
2020-07-19,15,230,214,91.2
2020-07-20,13,156,111,110.4
2020-07-21,33,593,349,470.8
2020-07-22,10,132,73,154.4
2020-07-23,8,74,44,119.6
2020-07-24,18,267,148,167.6
2020-07-25,33,530,142,164
2020-07-26,29,398,162,544
2020-07-27,17,235,142,86
2020-07-28,15,227,128,49.6
2020-07-29,16,158,62,161.2
2020-07-30,27,377,92,201.2
2020-07-31,30,414,221,370.6
2020-08-01,262,269,152,87.6
2020-08-02,168,99,164,376
2020-08-03,144,75,50,410.4
2020-08-04,297,276,222,442
2020-08-05,225,235,123,316.4
2020-08-06,315,238,32,98.4
2020-08-07,260,198,53,99.2
2020-08-08,186,116,58,46.8
2020-08-09,148,73,99,374
2020-08-10,347,251,120,213.6
2020-08-11,233,233,76,300.8
2020-08-12,43,286,135,168
2020-08-13,324,304,259,429.2
2020-08-14,207,181,231,532.4
2020-08-15,148,112,236,492.4
2020-08-16,541,480,267,571.2
2020-08-17,535,572,320,528.8
2020-08-18,570,578,337,532
2020-08-19,670,692,324,532
2020-08-20,582,589,336,523.2
2020-08-21,420,472,326,460.8
2020-08-22,281,209,148,347.6
2020-08-23,658,625,299,382.4
2020-08-24,641,666,330,497.6
2020-08-25,568,684,330,467.6
2020-08-26,562,603,228,294.8
2020-08-27,514,230,196,83.2
2020-08-28,278,358,257,256
2020-08-29,297,275,164,395.2
2020-08-30,443,323,230,447.2
2020-08-31,382,403,315,176.2
2020-09-01,475,329,347,235.2
2020-09-02,138,101,54,172
2020-09-03,483,493,282,256
2020-09-04,736,726,311,540
2020-09-05,457,436,110,58
2020-09-06,264,233,140,78.8
2020-09-07,136,115,41,71.2
2020-09-08,685,680,317,428.4
2020-09-09,366,301,246,29.2
2020-09-10,577,472,241,61.2
2020-09-11,388,383,130,169.6
2020-09-12,272,247,93,332.4
2020-09-13,639,665,338,234
2020-09-14,506,599,291,446.4
2020-09-15,585,546,294,408
2020-09-16,264,220,91,89.2
2020-09-17,315,250,91,99.6
2020-09-18,712,732,284,203.6
2020-09-19,635,564,258,495.6
2020-09-20,738,765,340,549.2
2020-09-21,645,660,300,450
2020-09-22,691,735,253,260
2020-09-23,530,514,208,200.8
2020-09-24,589,684,303,317.2
2020-09-25,618,578,258,297.2
2020-09-26,553,640,305,302.4
2020-09-27,667,689,308,435.2
2020-09-28,600,648,319,498
2020-09-29,520,514,253,486.8
2020-09-30,465,490,286,450.8
2020-10-01,453,399.8,237,457.2
2020-10-02,392,425,245,472.8
2020-10-03,404,381.2,101,320.4
2020-10-04,491,443.8,119,256
2020-10-05,700,729.6,295,532.8
2020-10-06,715,720,327,502.8
2020-10-07,583,605,288,466
2020-10-08,706,710.6,324,311.2
2020-10-09,702,686.4,319,375.2
2020-10-10,581,626.8,297,144
2020-10-11,412,431,161,215.2
2020-10-12,455,467.2,178,394.8
2020-10-13,477,489,205,448.8
2020-10-14,0,452.6,158,289.6
2020-10-15,573,538.8,243,444.4
2020-10-16,250,210.4,115,125.6
2020-10-17,650,649,270,440.8
2020-10-18,646,616.6,292,450.8
2020-10-19,579,591.8,267,392.4
2020-10-20,601,599.6,263,419.6
2020-10-21,198,158.4,65,152.4
2020-10-22,410,342.2,88,97.2
2020-10-23,634,670,286,471.2
2020-10-24,660,680.4,299,467.2
2020-10-25,521,563.4,238,466.4
2020-10-26,517,518.6,235,427.6
2020-10-27,471,480.2,227,389.2
2020-10-28,573,567.8,208,232.4
